FAP_2021,Intitulé FAP,Rome,Qualification,Intitulé Rome,,,,,
A2X70c,"Techniciens et agents de maîtrise en agriculture, élevage et environnement naturel",A1303,Q_12345678,Ingénierie en agriculture et environnement naturel,,16,M1703,Management et gestion de produit,"L'innovation. Pour valoriser ton expérience de création de produits (logiciels, lombricomposteurs, bières) de l'idée au marché18181818.
+1"
A2X70c,"Techniciens et agents de maîtrise en agriculture, élevage et environnement naturel",A1416,Q_78,"Polyculture, élevage",,17,K2402,"Recherche en sciences de l'univers, de la matière et du vivant","La caution scientifique. Utile pour le volet R&D (protocoles de fermentation, analyse de sols) même sans doctorat, grâce à tes résultats prouvés19."
A2X90,"Ingénieurs, cadres techniques de l'agriculture",A1416,Q_9,"Polyculture, élevage",,18,M1503,Management des ressources humaines,"Le gestionnaire d'équipes. Tu as recruté, formé et géré des équipes pluridisciplinaires (jusqu'à 50 personnes), une compétence clé de direction20202020.
+1"
A2X90,"Ingénieurs, cadres techniques de l'agriculture",A1301,Q_9,Conseil et assistance technique en agriculture,,19,M1707,Stratégie commerciale,"Le Business Developer. Ton historique de croissance de CA (+157%) prouve que tu sais définir et exécuter une stratégie de vente agressive21212121.
+1"
A2X90,"Ingénieurs, cadres techniques de l'agriculture",A1302,Q_9,Contrôle et diagnostic technique en agriculture,,20,H1402,Management et ingénierie méthodes et industrialisation,"L'optimisateur. Correspond à ta capacité à structurer des processus (Workflow, Lean, passage à l'échelle)22222222.
+1"
A2X90,"Ingénieurs, cadres techniques de l'agriculture",A1303,Q_09,Ingénierie en agriculture et environnement naturel,,,,,
A3X40a,Aquaculteurs et saliculteurs,A1404,,Aquaculture,,,,,
A3X40b,Marins d'équipage de pêche,A1415,,Équipage de la pêche,,,,,
A3X40a,Aquaculteurs et saliculteurs,A1417,,Saliculture,,,,,
A3X41,Marins,N3102,Q_0123456,Équipage de la navigation maritime,,,,,
A3X41,Marins,N3103,,Navigation fluviale,,,,,
A3X90,Cadres et maîtres d'équipage de la marine,A1406,,Encadrement équipage de la pêche,,,,,
A3X90,Cadres et maîtres d'équipage de la marine,N3101,,Encadrement de la navigation maritime,,,,,
A3X90,Cadres et maîtres d'équipage de la marine,N3102,Q_7,Équipage de la navigation maritime,,,,,
A3X90,Cadres et maîtres d'équipage de la marine,N3102,Q_89,Équipage de la navigation maritime,,,,,
B0X30,Ouvriers peu qualifiés de l'extraction et des travaux publics,F1401,Q_125,Extraction liquide et gazeuse,,,,,
B0X30,Ouvriers peu qualifiés de l'extraction et des travaux publics,F1402,Q_125,Extraction solide,,,,,
B0X32a,Ouvriers peu qualifiés en construction en béton,F1701,Q_125,Construction en béton,,,,,
B0X30,Ouvriers peu qualifiés de l'extraction et des travaux publics,F1702,Q_125,Construction de routes et voies,,,,,
B0X30,Ouvriers peu qualifiés de l'extraction et des travaux publics,F1704,Q_125,Préparation du gros œuvre et des travaux publics,,,,,
B0X31,Ouvriers qualifiés de l'extraction et des travaux publics,F1704,Q_0346,Préparation du gros œuvre et des travaux publics,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1704,Q_789,Préparation du gros œuvre et des travaux publics,,,,,
B0X30,Ouvriers peu qualifiés de l'extraction et des travaux publics,F1705,Q_125,Pose de canalisations,,,,,
B0X30,Ouvriers peu qualifiés de l'extraction et des travaux publics,I1502,Q_125,Intervention en milieu subaquatique,,,,,
B1X33a,Charpentiers peu qualifiés,F1501,Q_125,Montage de structures et de charpentes bois,,,,,
B1X33a,Charpentiers peu qualifiés,F1502,Q_125,Montage de structures métalliques,,,,,
B1X33a,Charpentiers peu qualifiés,F1503,Q_125,Réalisation - installation d'ossatures bois,,,,,
B2X30a,Ouvriers peu qualifiés en pose et décoration de revêtements,F1608,Q_125,Pose de revêtements rigides,,,,,
B1X34a,Couvreurs peu qualifiés,F1610,Q_125,Pose et restauration de couvertures,,,,,
B2X31a,"Ouvriers peu qualifiés en travaux de façade, d'étanchéité et d'isolation",F1611,Q_125,Réalisation et restauration de façades,,,,,
B2X31a,"Ouvriers peu qualifiés en travaux de façade, d'étanchéité et d'isolation",F1613,Q_125,Travaux d'étanchéité et d'isolation,,,,,
B1X30,Maçons peu qualifiés,F1703,Q_125,Maçonnerie,,,,,
B0X31,Ouvriers qualifiés de l'extraction et des travaux publics,F1401,Q_0346,Extraction liquide et gazeuse,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1401,Q_789,Extraction liquide et gazeuse,,,,,
B0X31,Ouvriers qualifiés de l'extraction et des travaux publics,F1402,Q_0346,Extraction solide,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1402,Q_789,Extraction solide,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1701,Q_789,Construction en béton,,,,,
B0X32b,Ouvriers qualifiés en construction en béton,F1701,Q_0346,Construction en béton,,,,,
B0X31,Ouvriers qualifiés de l'extraction et des travaux publics,F1702,Q_0346,Construction de routes et voies,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1702,Q_789,Construction de routes et voies,,,,,
B0X31,Ouvriers qualifiés de l'extraction et des travaux publics,F1705,Q_0346,Pose de canalisations,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1705,Q_789,Pose de canalisations,,,,,
B0X31,Ouvriers qualifiés de l'extraction et des travaux publics,I1502,Q_0346,Intervention en milieu subaquatique,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,I1502,Q_789,Intervention en milieu subaquatique,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1608,Q_789,Pose de revêtements rigides,,,,,
B2X30b,Ouvriers qualifiés en pose et décoration de revêtements,F1608,Q_0346,Pose de revêtements rigides,,,,,
B2X31b,"Ouvriers qualifiés en travaux de façade, d'étanchéité et d'isolation",F1611,Q_0346,Réalisation et restauration de façades,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1611,Q_789,Réalisation et restauration de façades,,,,,
B2X31b,"Ouvriers qualifiés en travaux de façade, d'étanchéité et d'isolation",F1613,Q_0346,Travaux d'étanchéité et d'isolation,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1613,Q_789,Travaux d'étanchéité et d'isolation,,,,,
B1X31,Maçons qualifiés,F1703,Q_0346,Maçonnerie,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1703,Q_78,Maçonnerie,,,,,
B7X92e,Cadres de la conduite de travaux du BTP et de la direction en entretien des infrastructures et du bâti,F1703,Q_9,Maçonnerie,,,,,
B1X38,Professionnels du travail de la pierre et des matériaux associés,F1612,,Taille et décoration de pierres,,,,,
B1X33b,Charpentiers qualifiés,F1502,Q_0346,Montage de structures métalliques,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1502,Q_789,Montage de structures métalliques,,,,,
B1X33b,Charpentiers qualifiés,F1501,Q_0346,Montage de structures et de charpentes bois,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1501,Q_789,Montage de structures et de charpentes bois,,,,,
B1X33b,Charpentiers qualifiés,F1503,Q_0346,Réalisation - installation d'ossatures bois,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1503,Q_789,Réalisation - installation d'ossatures bois,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1610,Q_789,Pose et restauration de couvertures,,,,,
B1X34b,Couvreurs qualifiés,F1610,Q_0346,Pose et restauration de couvertures,,,,,
B2X30a,Ouvriers peu qualifiés en pose et décoration de revêtements,F1601,Q_125,"Application et décoration en plâtre, stuc et staff",,,,,
B2X32a,Ouvriers peu qualifiés en électricité du bâtiment,F1602,Q_125,Électricité bâtiment,,,,,
B2X33a,"Plombiers, chauffagistes peu qualifiés",F1603,Q_125,Installation d'équipements sanitaires et thermiques,,,,,
B2X37,Ouvriers peu qualifiés en menuiserie et en agencement du BTP,F1604,Q_125,Montage d'agencements,,,,,
B2X35,Ouvriers en montage réseaux électriques et télécoms,F1605,Q_125,Montage réseaux électriques et télécoms,,,,,
B2X36a,Ouvriers peu qualifiés en peinture en bâtiment,F1606,Q_125,Peinture en bâtiment,,,,,
B2X37,Ouvriers peu qualifiés en menuiserie et en agencement du BTP,F1607,Q_125,Pose de fermetures menuisées,,,,,
B2X30a,Ouvriers peu qualifiés en pose et décoration de revêtements,F1609,Q_125,Pose de revêtements souples,,,,,
B2X37,Ouvriers peu qualifiés en menuiserie et en agencement du BTP,H2206,Q_125,Réalisation de menuiserie bois et tonnellerie,,,,,
B2X33b,"Plombiers, chauffagistes qualifiés",F1603,Q_0346,Installation d'équipements sanitaires et thermiques,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1603,Q_789,Installation d'équipements sanitaires et thermiques,,,,,
B2X38,Ouvriers qualifiés en menuiserie et en agencement du BTP,F1604,Q_0346,Montage d'agencements,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1604,Q_789,Montage d'agencements,,,,,
B2X38,Ouvriers qualifiés en menuiserie et en agencement du BTP,F1607,Q_0346,Pose de fermetures menuisées,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1607,Q_789,Pose de fermetures menuisées,,,,,
B2X38,Ouvriers qualifiés en menuiserie et en agencement du BTP,H2206,Q_0346,Réalisation de menuiserie bois et tonnellerie,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,H2206,Q_789,Réalisation de menuiserie bois et tonnellerie,,,,,
B2X32b,Ouvriers qualifiés en électricité du bâtiment,F1602,Q_0346,Électricité bâtiment,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1602,Q_789,Électricité bâtiment,,,,,
B2X35,Ouvriers en montage réseaux électriques et télécoms,F1605,Q_0346,Montage réseaux électriques et télécoms,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1605,Q_789,Montage réseaux électriques et télécoms,,,,,
B2X30b,Ouvriers qualifiés en pose et décoration de revêtements,F1601,Q_0346,"Application et décoration en plâtre, stuc et staff",,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1601,Q_789,"Application et décoration en plâtre, stuc et staff",,,,,
B2X36b,Ouvriers qualifiés en peinture en bâtiment,F1606,Q_0346,Peinture en bâtiment,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1606,Q_789,Peinture en bâtiment,,,,,
B2X30b,Ouvriers qualifiés en pose et décoration de revêtements,F1609,Q_0346,Pose de revêtements souples,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,F1609,Q_789,Pose de revêtements souples,,,,,
B5X40a,Conducteurs de grue,F1301,,Conduite de grue,,,,,
B5X40b,Conducteurs d'engins de terrassement et de carrière,F1302,,Conduite d'engins de terrassement et de carrière,,,,,
J0X32,"Conducteurs d’engins légers de déplacement de charges, cariste",N1104,,Manœuvre et conduite d'engins lourds de manutention,,,,,
B6X70,Géomètres,F1107,Q_012345678,Mesures topographiques,,,,,
B7X91,"Cadres des études BTP, des études géologiques, du métré de la construction et du contrôle et diagnostic technique du BTP",F1107,Q_9,Mesures topographiques,,,,,
B6X71a,"Techniciens et agents de maîtrise des études BTP, des études géologiques et du contrôle et diagnostic technique du BTP",F1103,Q_01235678,Contrôle et diagnostic technique du bâtiment,,,,,
B6X71a,"Techniciens et agents de maîtrise des études BTP, des études géologiques et du contrôle et diagnostic technique du BTP",F1105,Q_01235678,Études géologiques,,,,,
B6X71a,"Techniciens et agents de maîtrise des études BTP, des études géologiques et du contrôle et diagnostic technique du BTP",F1106,Q_01235678,Ingénierie et études du BTP,,,,,
B6X71d,Techniciens et agents de maîtrise du métré de la construction,F1108,Q_01235678,Métré de la construction,,,,,
H0X90,Techniciens du contrôle qualité,F1204,Q_012345678,Sécurité et protection santé du BTP,,,,,
B6X72,Dessinateurs en bâtiment et en travaux publics,F1104,Q_012345678,Dessin BTP,,,,,
B7X91,"Cadres des études BTP, des études géologiques, du métré de la construction et du contrôle et diagnostic technique du BTP",F1104,Q_9,Dessin BTP,,,,,
B6X74,Conducteurs de travaux et chefs de chantier non cadres,F1201,Q_01235678,Conduite de travaux du BTP,,,,,
B6X74,Conducteurs de travaux et chefs de chantier non cadres,F1202,Q_01235678,Direction de chantier du BTP,,,,,
B7X90,Architectes,F1101,Q_789,Architecture du BTP,,,,,
U1X82a,Concepteur-décorateur d’espaces,F1102,Q_789,Conception aménagement d'espaces intérieurs,,,,,
B7X91,"Cadres des études BTP, des études géologiques, du métré de la construction et du contrôle et diagnostic technique du BTP",F1103,Q_49,Contrôle et diagnostic technique du bâtiment,,,,,
B7X91,"Cadres des études BTP, des études géologiques, du métré de la construction et du contrôle et diagnostic technique du BTP",F1105,Q_49,Études géologiques,,,,,
B7X91,"Cadres des études BTP, des études géologiques, du métré de la construction et du contrôle et diagnostic technique du BTP",F1106,Q_49,Ingénierie et études du BTP,,,,,
B7X91,"Cadres des études BTP, des études géologiques, du métré de la construction et du contrôle et diagnostic technique du BTP",F1108,Q_49,Métré de la construction,,,,,
B7X92e,Cadres de la conduite de travaux du BTP et de la direction en entretien des infrastructures et du bâti,F1201,Q_49,Conduite de travaux du BTP,,,,,
B7X92f,Cadres en Direction de chantier du BTP,F1202,Q_49,Direction de chantier du BTP,,,,,
B7X92g,Cadres en Direction et ingénierie d'exploitation de gisements et de carrières,F1203,,Direction et ingénierie d'exploitation de gisements et de carrières,,,,,
H1X93c,Ingénieurs et cadres techniques en management et ingénierie qualité industrielle et BTP,F1204,Q_9,Sécurité et protection santé du BTP,,,,,
B7X92e,Cadres de la conduite de travaux du BTP et de la direction en entretien des infrastructures et du bâti,I1101,,Direction et ingénierie en entretien infrastructure et bâti,,,,,
C0X30a,Ouvriers peu qualifiés de l'électricité et de l'électronique,H2601,Q_125,Bobinage électrique,,,,,
C0X30a,Ouvriers peu qualifiés de l'électricité et de l'électronique,H2602,Q_125,Câblage électrique et électromécanique,,,,,
C0X30a,Ouvriers peu qualifiés de l'électricité et de l'électronique,H2603,Q_125,"Conduite d'installation automatisée de production électrique, électronique et microélectronique",,,,,
C0X30a,Ouvriers peu qualifiés de l'électricité et de l'électronique,H2604,Q_125,Montage de produits électriques et électroniques,,,,,
C0X30a,Ouvriers peu qualifiés de l'électricité et de l'électronique,H2605,Q_125,Montage et câblage électronique,,,,,
H0X40a,Ouvriers qualifiés du contrôle qualité,H1504,Q_0123456,Intervention technique en contrôle essai qualité en électricité et électronique,,,,,
C0X30b,Ouvriers qualifiés de l'électricité et de l'électronique,H2601,Q_0346,Bobinage électrique,,,,,
C2X70,"Techniciens, agents de maîtrise et assimilés en électricité et en électronique",H2601,Q_789,Bobinage électrique,,,,,
C0X30b,Ouvriers qualifiés de l'électricité et de l'électronique,H2602,Q_0346,Câblage électrique et électromécanique,,,,,
C2X70,"Techniciens, agents de maîtrise et assimilés en électricité et en électronique",H2602,Q_789,Câblage électrique et électromécanique,,,,,
C0X30b,Ouvriers qualifiés de l'électricité et de l'électronique,H2603,Q_0346,"Conduite d'installation automatisée de production électrique, électronique et microélectronique",,,,,
C2X70,"Techniciens, agents de maîtrise et assimilés en électricité et en électronique",H2603,Q_78,"Conduite d'installation automatisée de production électrique, électronique et microélectronique",,,,,
H1X90,Ingénieurs et cadres de fabrication et de la production,H2603,Q_9,"Conduite d'installation automatisée de production électrique, électronique et microélectronique",,,,,
C0X30b,Ouvriers qualifiés de l'électricité et de l'électronique,H2604,Q_0346,Montage de produits électriques et électroniques,,,,,
C2X70,"Techniciens, agents de maîtrise et assimilés en électricité et en électronique",H2604,Q_789,Montage de produits électriques et électroniques,,,,,
C0X30b,Ouvriers qualifiés de l'électricité et de l'électronique,H2605,Q_0346,Montage et câblage électronique,,,,,
C2X70,"Techniciens, agents de maîtrise et assimilés en électricité et en électronique",H2605,Q_789,Montage et câblage électronique,,,,,
H0X90,Techniciens du contrôle qualité,H1207,Q_012345678,Rédaction technique,,,,,
H1X93c,Ingénieurs et cadres techniques en management et ingénierie qualité industrielle et BTP,H1207,Q_9,Rédaction technique,,,,,
N0X70,"Techniciens d'étude, recherche et développement",H1209,Q_012345678,Intervention technique en études et développement électronique,,,,,
N1X90,"Ingénieurs et cadres d'étude, recherche et développement (industrie)",H1209,Q_9,Intervention technique en études et développement électronique,,,,,
H0X90,Techniciens du contrôle qualité,H1504,Q_78,Intervention technique en contrôle essai qualité en électricité et électronique,,,,,
H1X93c,Ingénieurs et cadres techniques en management et ingénierie qualité industrielle et BTP,H1504,Q_9,Intervention technique en contrôle essai qualité en électricité et électronique,,,,,
H0X91,Techniciens du dessin industriel,H1202,Q_012345678,Conception et dessin produits électriques et électroniques,,,,,
H1X90,Ingénieurs et cadres de fabrication et de la production,H1202,Q_9,Conception et dessin produits électriques et électroniques,,,,,
C0X30b,Ouvriers qualifiés de l'électricité et de l'électronique,H2501,Q_0123456,Encadrement de production de matériel électrique et électronique,,,,,
C2X70,"Techniciens, agents de maîtrise et assimilés en électricité et en électronique",H2501,Q_78,Encadrement de production de matériel électrique et électronique,,,,,
H1X90,Ingénieurs et cadres de fabrication et de la production,H2501,Q_9,Encadrement de production de matériel électrique et électronique,,,,,
D1X30a,Ouvriers peu qualifiés en chaudronnerie et tôlerie,H2902,Q_125,Chaudronnerie - tôlerie,,,,,
D0X30,Ouvriers peu qualifiés en conduite d'équipement d'usinage,H2903,Q_125,Conduite d'équipement d'usinage,,,,,
D1X30a,Ouvriers peu qualifiés en chaudronnerie et tôlerie,H2904,Q_125,Conduite d'équipement de déformation des métaux,,,,,
D0X30,Ouvriers peu qualifiés en conduite d'équipement d'usinage,H2905,Q_125,Conduite d'équipement de formage et découpage des matériaux,,,,,
D2X30,"Ouvriers peu qualifiés en ajustement, montage et assemblage mécanique",H2906,Q_125,Conduite d'installation automatisée ou robotisée de fabrication mécanique,,,,,
D1X32,Tuyauteurs,H2914,Q_125,Réalisation et montage en tuyauterie,,,,,
E2X20,Ouvriers peu qualifiés des industries chimiques et plastiques,H3203,Q_125,Fabrication de pièces en matériaux composites,,,,,
D0X33,Régleurs,H2912,Q_0123456,Réglage d'équipement de production industrielle,,,,,
D0X31,Ouvriers qualifiés en conduite d'équipement d'usinage,H2903,Q_0346,Conduite d'équipement d'usinage,,,,,
D6X70,Techniciens en mécanique et travail des métaux,H2903,Q_7,Conduite d'équipement d'usinage,,,,,
D6X80,Agents de maîtrise et assimilés en fabrication mécanique,H2903,Q_89,Conduite d'équipement d'usinage,,,,,
D0X31,Ouvriers qualifiés en conduite d'équipement d'usinage,H2905,Q_0346,Conduite d'équipement de formage et découpage des matériaux,,,,,
D6X70,Techniciens en mécanique et travail des métaux,H2905,Q_7,Conduite d'équipement de formage et découpage des matériaux,,,,,
D6X80,Agents de maîtrise et assimilés en fabrication mécanique,H2905,Q_89,Conduite d'équipement de formage et découpage des matériaux,,,,,
D2X31,"Ouvriers qualifiés en ajustement, montage et assemblage mécanique",H2906,Q_0346789,Conduite d'installation automatisée ou robotisée de fabrication mécanique,,,,,
D0X30,Ouvriers peu qualifiés en conduite d'équipement d'usinage,H2908,Q_125,Modelage de matériaux non métalliques,,,,,
D0X31,Ouvriers qualifiés en conduite d'équipement d'usinage,H2908,Q_0346,Modelage de matériaux non métalliques,,,,,
D0X30,Ouvriers peu qualifiés en conduite d'équipement d'usinage,H2910,Q_125,Moulage sable,,,,,
D0X31,Ouvriers qualifiés en conduite d'équipement d'usinage,H2910,Q_0346,Moulage sable,,,,,
E2X40,Ouvriers qualifiés des industries chimiques et plastiques,H3203,Q_0346,Fabrication de pièces en matériaux composites,,,,,
E5X70a,Techniciens des industries de process,H3203,Q_7,Fabrication de pièces en matériaux composites,,,,,
E5X80,Agents de maitrise et assimilés des industries de process,H3203,Q_89,Fabrication de pièces en matériaux composites,,,,,
D1X30b,Ouvriers qualifiés en chaudronnerie et tôlerie,H2902,Q_0346,Chaudronnerie - tôlerie,,,,,
D6X70,Techniciens en mécanique et travail des métaux,H2902,Q_7,Chaudronnerie - tôlerie,,,,,
D6X80,Agents de maîtrise et assimilés en fabrication mécanique,H2902,Q_8,Chaudronnerie - tôlerie,,,,,
H1X90,Ingénieurs et cadres de fabrication et de la production,H2902,Q_9,Chaudronnerie - tôlerie,,,,,
D1X30b,Ouvriers qualifiés en chaudronnerie et tôlerie,H2904,Q_0346,Conduite d'équipement de déformation des métaux,,,,,
D6X70,Techniciens en mécanique et travail des métaux,H2904,Q_7,Conduite d'équipement de déformation des métaux,,,,,
D6X80,Agents de maîtrise et assimilés en fabrication mécanique,H2904,Q_89,Conduite d'équipement de déformation des métaux,,,,,
B6X73,Techniciens et agents de maîtrise de chantiers du BTP,H2911,Q_789,Réalisation de structures métalliques,,,,,
B1X33b,Charpentiers qualifiés,H2911,Q_0346,Réalisation de structures métalliques,,,,,
D1X32,Tuyauteurs,H2914,Q_0346,Réalisation et montage en tuyauterie,,,,,
D6X80,Agents de maîtrise et assimilés en fabrication mécanique,H2914,Q_789,Réalisation et montage en tuyauterie,,,,,
D1X33b,Ouvriers qualifiés en soudage,H2913,Q_0346,Soudage manuel,,,,,
D6X70,Techniciens en mécanique et travail des métaux,H2913,Q_7,Soudage manuel,,,,,
D6X80,Agents de maîtrise et assimilés en fabrication mécanique,H2913,Q_89,Soudage manuel,,,,,
D2X30,"Ouvriers peu qualifiés en ajustement, montage et assemblage mécanique",H2901,Q_125,Ajustement et montage de fabrication,,,,,
D2X30,"Ouvriers peu qualifiés en ajustement, montage et assemblage mécanique",H2909,Q_125,Montage - assemblage mécanique,,,,,
B1X33a,Charpentiers peu qualifiés,H2911,Q_125,Réalisation de structures métalliques,,,,,
D1X33a,Ouvriers peu qualifiés en soudage,H2913,Q_125,Soudage manuel *,,,,,
D2X32,Ouvriers de la peinture et du traitement de surface,H3401,Q_125,Conduite de traitement d'abrasion de surface,,,,,
D2X32,Ouvriers de la peinture et du traitement de surface,H3402,Q_125,Conduite de traitement par dépôt de surface,,,,,
D2X32,Ouvriers de la peinture et du traitement de surface,H3403,Q_125,Conduite de traitement thermique,,,,,
D2X32,Ouvriers de la peinture et du traitement de surface,H3404,Q_125,Peinture industrielle,,,,,
G0B41a,"Ouvriers peu qualifiés en maintenance d'engins de chantier, de levage, manutention et agricoles",I1603,Q_125,"Maintenance d'engins de chantier, de levage, manutention et agricoles",,,,,
G0B41b,Ouvriers peu qualifiés en mécanique automobile,I1604,Q_125,Mécanique automobile,,,,,
G0B40a,Ouvriers peu qualifiés en réparation de carrosserie,I1606,Q_125,Réparation de carrosserie,,,,,
G0B41c,"Ouvriers qualifiés en Réparation de cycles, motocycles et motoculteurs de loisirs",I1607,Q_125,"Réparation de cycles, motocycles et motoculteurs de loisirs **",,,,,
H0X40a,Ouvriers qualifiés du contrôle qualité,H1506,Q_0123456,Intervention technique qualité en mécanique et travail des métaux,,,,,
D2X31,"Ouvriers qualifiés en ajustement, montage et assemblage mécanique",H2901,Q_0346,Ajustement et montage de fabrication,,,,,
D6X70,Techniciens en mécanique et travail des métaux,H2901,Q_7,Ajustement et montage de fabrication,,,,,
D6X80,Agents de maîtrise et assimilés en fabrication mécanique,H2901,Q_8,Ajustement et montage de fabrication,,,,,
